predicted_duration,actual_duration
49.00,54.00
51.00,51.00
15.00,25.00
02.00,17.00
17.00,17.00
06.00,16.00
10.00,15.00
15.00,15.00
09.00,14.00
03.00,12.00
04.00,11.00
02.00,11.00
11.00,11.00
03.00,11.00
11.00,11.00
03.00,10.00
08.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
05.00,09.00
06.21,09.00
03.00,09.00
05.00,09.00
19.00,09.00
08.26,09.00
06.00,09.00
04.00,09.00
09.00,09.00
44.00,08.00
03.00,08.00
04.00,08.00
08.00,08.00
05.00,08.00
03.00,08.00
03.00,08.00
04.00,08.00
08.00,08.00
06.00,07.00
04.00,07.00
04.17,07.00
07.00,06.00
04.11,06.00
04.00,06.00
05.01,06.00
04.39,06.00
05.00,06.00
06.00,06.00
04.00,06.00
06.00,06.00
06.00,05.00
05.00,05.00
04.09,05.00
03.00,05.00
03.00,05.00
04.17,05.00
03.52,05.00
04.17,05.00
04.00,05.00
04.00,05.00
04.00,04.00
04.00,04.00
02.00,04.00
04.00,04.00
04.01,04.00
03.58,04.00
03.00,03.00
02.00,03.00
02.09,03.00
02.00,03.00
02.00,03.00
04.04,03.00
03.00,03.00
03.00,03.00
02.46,03.00
02.56,03.00
04.00,03.00
02.00,03.00
03.00,03.00
00.00,03.00
03.00,03.00
03.00,02.00
03.00,02.00
02.00,02.00
02.00,02.00
02.00,02.00
15.00,01.23
